127.0.0.1 - - [09/Sep/2022:19:26:59 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:27:02 +0700] "GET /JavaNangCaoNhom4/NewFile.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:27:20 +0700] "GET /JavaNangCaoNhom4/NewFile.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:27:21 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:30:22 +0700] "GET /JavaNangCaoNhom4/NewFile.jsp HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:30:22 +0700] "GET /JavaNangCaoNhom4/lxck.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:30:52 +0700] "GET /JavaNangCaoNhom4/NewFile.jsp HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:30:52 +0700] "GET /JavaNangCaoNhom4/lxck.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:31:23 +0700] "GET /JavaNangCaoNhom4/NewFile.jsp HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:31:23 +0700] "GET /JavaNangCaoNhom4/lxick.jpg HTTP/1.1" 200 6039
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:31:31 +0700] "GET /JavaNangCaoNhom4/tam.docx HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:32:32 +0700] "GET /JavaNangCaoNhom4/NewFile.jsp HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:32:32 +0700] "GET /JavaNangCaoNhom4/lxick.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:38:37 +0700] "GET /JavaNangCaoNhom4/tam.docx HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:38:40 +0700] "GET /JavaNangCaoNhom4/tam.docx HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:38:42 +0700] "GET /JavaNangCaoNhom4/tam.docx HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:38:45 +0700] "GET /JavaNangCaoNhom4/tam.docx HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:39:10 +0700] "GET /JavaNangCaoNhom4/NewFile.jsp HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:39:10 +0700] "GET /JavaNangCaoNhom4/lxick.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:39:13 +0700] "GET /JavaNangCaoNhom4/DaoSo.txt HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:42:05 +0700] "GET /JavaNangCaoNhom4/NewFile.jsp HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:42:05 +0700] "GET /JavaNangCaoNhom4/lxick.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:42:09 +0700] "GET /JavaNangCaoNhom4/DaoSo.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:47:43 +0700] "GET /JavaNangCaoNhom4/vdCode.jsp HTTP/1.1" 200 5126
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:47:49 +0700] "GET /JavaNangCaoNhom4/NewFile.jsp HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:47:49 +0700] "GET /JavaNangCaoNhom4/lxick.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2022:19:54:42 +0700] "GET /JavaNangCaoNhom4/vdCode.jsp HTTP/1.1" 200 8270
