127.0.0.1 - - [19/Oct/2022:14:56:59 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:05 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 4855
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:08 +0700] "GET /JavaNangCaoNhom4/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:08 +0700] "GET /JavaNangCaoNhom4/buynow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:08 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:08 +0700] "GET /JavaNangCaoNhom4/b3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:08 +0700] "GET /JavaNangCaoNhom4/b2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:08 +0700] "GET /JavaNangCaoNhom4/b4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:08 +0700] "GET /JavaNangCaoNhom4/b5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:09 +0700] "GET /JavaNangCaoNhom4/b6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:11 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:19 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=hoa HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:29 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=hoa HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:29 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:31 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:31 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:31 +0700] "GET /JavaNangCaoNhom4/b1.jpg HTTP/1.1" 200 24874
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:31 +0700] "GET /JavaNangCaoNhom4/b3.jpg HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:31 +0700] "GET /JavaNangCaoNhom4/b5.jpg HTTP/1.1" 200 25644
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:31 +0700] "GET /JavaNangCaoNhom4/buynow.jpg HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:31 +0700] "GET /JavaNangCaoNhom4/b2.jpg HTTP/1.1" 200 14211
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:34 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=hoa HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:35 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=toan HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:35 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:35 +0700] "GET /JavaNangCaoNhom4/b4.jpg HTTP/1.1" 200 18376
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:36 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=sinh HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:38 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:38 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:57:51 +0700] "GET /JavaNangCaoNhom4/ktdn HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:58:04 +0700] "POST /JavaNangCaoNhom4/ktdn HTTP/1.1" 200 4859
0:0:0:0:0:0:0:1 - - [19/Oct/2022:14:58:04 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
